D,F,I,R0,R1_plus_R2,R1_plus_R2_bulk,R_total,R_total_bulk,ambiguous_support,bulk_gA_observed,bulk_gA_predicted,bulk_identity_error,check4_error,child_ambiguous,child_failures,delta_I_identity_error,fixed_j,fourier_resid_child_max,fourier_resid_parent,full_j,max_abs_g_on_S,mean_R1,mean_R1_bulk,mean_R2,mean_inner,mean_solve_time_child,mean_unorm,method,min_w,n,num_children,ok,parent_id,q,s2,s3,seed,solve_time_parent,solver_status,std_child_R1,std_child_R2,std_child_Rsum,subset_vs_bulk_gap,sum_w_err_parent,support_1em10,support_1em8,support_1em9,tau,theta_like_value,w0
0.721913663351314,1023,1.5905624732874455,0.0015548020266739448,-0.0002558785668989316,-0.00045330575135643647,0.0012989234597750132,0.0011014962753175084,False,6.899857377006167e-07,6.899857377006833e-07,6.659796547786936e-20,7.589415207398531e-18,0,0,4.822531263215524e-16,-1,3.4601488341223785e-13,1.980053630720746e-13,False,2.0118282040293423e-13,-0.036908175530143895,-0.0371056027146014,0.036652296963244964,-1.8807955813189648e-05,59.60631272499998,3.579325875316891e-05,highs-ipm,0.0,4093,8,True,0,1023,0.0015548020266739448,3.10722650283135e-06,8403000,53.42485309999984,0,0.04160706825964323,0.037762248937465166,0.004982794344107467,0.00019742718445750485,1.1102230246251565e-15,1023,1023,1023,0.016084203225535165,64.79053959615872,0.015829596774043178
0.7824956316385379,1023,1.6247740171606244,0.0015882443960514414,-0.009029414234358282,-0.008001462124608824,-0.007441169838306841,-0.0064132177285573825,False,7.478883598591426e-07,7.478883598590861e-07,5.653944922922455e-20,2.6020852139652106e-18,0,0,2.5326962749261384e-16,-1,4.2060994444315103e-13,5.020201105949279e-13,False,5.101474798152594e-13,-0.05384288902641969,-0.05281493691667023,0.04481347479206141,-2.6536431776201972e-05,58.45113073749994,4.376315897662247e-05,highs-ipm,0.0,4093,8,True,1,1023,0.0015882443960514414,3.270225897685407e-06,8403001,58.359590000000026,0,0.036220726997641964,0.034284021195188356,0.012125127262471912,0.0010279521097494582,8.881784197001252e-16,1023,1023,1023,0.016137609416267962,65.00225434892491,0.01588132283140115
0.7820226712030699,1023,1.595971828336899,0.0015600897637701849,-0.006265439054947267,-0.007536831012080511,-0.004705349291177082,-0.005976741248310326,False,7.474363169464017e-07,7.474363169465658e-07,1.641126335305207e-19,3.469446951953614e-18,0,0,3.7470027081099033e-16,-1,8.875638939087604e-13,3.545664196275e-13,False,3.602430853621996e-13,-0.045226085434251564,-0.04649747739138481,0.0389606463793043,-2.345128269945868e-05,58.235816650000004,3.804750622978935e-05,highs-ipm,0.0,4093,8,True,2,1023,0.0015600897637701849,3.18113377464752e-06,8403002,52.251232399999935,0,0.036211365984096335,0.027799117380809504,0.011119440617133382,0.0012713919571332444,4.440892098500626e-16,1023,1023,1023,0.016079369404223373,64.77137608853877,0.015824914754101825
0.7635886665846809,1023,1.5999477854095503,0.0015639763298236074,0.008951493845703963,0.008271248851388482,0.01051547017552757,0.00983522518121209,False,7.29817589221784e-07,7.298175892217697e-07,1.4293680984916318e-20,1.734723475976807e-18,0,0,3.5388358909926865e-16,-1,4.662123348508386e-13,1.5142721061442432e-13,False,1.5384915563743107e-13,-0.031828749047903865,-0.032508994042219345,0.04078024289360783,-1.6603349836399185e-05,61.11189006250001,3.9824455950788894e-05,highs-ipm,0.0,4093,8,True,3,1023,0.0015639763298236074,3.1756612407507155e-06,8403003,51.5900529999999,0,0.03728279345752458,0.04432072151559735,0.008532674133441252,0.0006802449943154806,5.551115123125783e-16,1023,1023,1023,0.01606569291707007,64.7171551681696,0.015811667522152358
0.6764011914201807,1023,1.6088927056411793,0.0015727201423667442,0.005885127877920351,0.004523530845868408,0.007457848020287095,0.006096250988235152,False,6.464861364124674e-07,6.464861364129008e-07,4.333632316389814e-19,8.673617379884035e-19,0,0,7.20127082964872e-16,-1,6.67626110645303e-13,3.3087486743521577e-13,False,3.3614083738697786e-13,-0.02322124666329716,-0.024582843695349105,0.029106374541217513,-1.264982778453258e-05,61.060806650000075,2.8424193887907727e-05,highs-ipm,0.0,4093,8,True,4,1023,0.0015727201423667442,3.119776833404115e-06,8403004,56.18046019999997,0,0.024284036101968512,0.026295456314751182,0.0124573309428136,0.0013615970320519435,4.440892098500626e-16,1023,1023,1023,0.015908107916103902,64.0922984994922,0.01565900280955099
0.6831031207015138,1023,1.5867770810220476,0.0015511017409795187,0.003800174436640928,0.004394447959920101,0.005351276177620446,0.005945549700899619,False,6.528916608598888e-07,6.528916608598706e-07,1.8211208365967457e-20,8.673617379884035e-19,0,0,2.2898349882893854e-16,-1,4.1165375687206296e-13,1.6916107186890073e-13,False,1.7190068812844572e-13,-0.018003518124345294,-0.01740924460106612,0.021803692560986222,-9.153499376224188e-06,59.238875287500065,2.1292668516588108e-05,highs-ipm,0.0,4093,8,True,5,1023,0.0015511017409795187,3.058648757519728e-06,8403005,56.79944769999997,0,0.025536671177098413,0.03148611373556987,0.006536550652382074,0.0005942735232791728,4.440892098500626e-16,1023,1023,1023,0.016163185407589355,65.10363573811983,0.01590609228881501
0.6483324662337818,1023,1.5779608903631193,0.0015424837637958155,0.002256981589238677,0.0027207683831356466,0.0037994653530344924,0.004263252146931462,False,6.19658800905645e-07,6.196588009055655e-07,7.951521792349744e-20,4.336808689942018e-18,0,0,7.676151381197371e-16,-1,3.577176938994106e-13,1.5033989136069292e-13,False,1.5274240205975786e-13,-0.034850724872955,-0.03438693807905803,0.037107706462193676,-1.7410155909820618e-05,58.55949007499996,3.623799459198601e-05,highs-ipm,0.0,4093,8,True,6,1023,0.0015424837637958155,2.998763567707488e-06,8403006,56.72337759999982,0,0.022730604758521424,0.022187634692957287,0.009249392581965232,0.00046378679389696975,2.220446049250313e-16,1023,1023,1023,0.01597052831259403,64.3398312862626,0.01571947991357503
0.6289008503035373,1023,1.5558783241941079,0.0015208976776090986,-0.00716392012739564,-0.008993758206816437,-0.0056430224497865415,-0.007472860529207338,False,6.0108658301718e-07,6.010865830172035e-07,2.3505164286306834e-20,7.806255641895632e-18,0,0,5.551115123125783e-16,-1,4.2880030580970396e-13,1.2886116869739728e-13,False,1.3081202787645907e-13,-0.045282194008425994,-0.04711203208784679,0.038118273881030354,-2.3605008500911145e-05,58.80263628749992,3.7224876836943705e-05,highs-ipm,0.0,4093,8,True,7,1023,0.0015208976776090986,2.914069471558459e-06,8403007,51.69994350000002,0,0.057973960355388245,0.05600440694060155,0.0057477708830091295,0.0018298380794207966,4.440892098500626e-16,1023,1023,1023,0.015372543749387086,61.9672276481913,0.015139806412946811
0.6224098319431994,1023,1.5521394622139875,0.001517242876064504,-0.004885411620069557,-0.005055513449964431,-0.0033681687440050533,-0.003538270573899927,False,5.948826415776833e-07,5.948826415777314e-07,4.8069119756681544e-20,4.336808689942018e-19,0,0,4.0939474033052647e-16,-1,4.117097288092175e-13,1.3660188431796616e-13,False,1.388125725476641e-13,-0.05592251284836593,-0.0560926146782608,0.05103710122829637,-2.7983854652447262e-05,46.380657562500005,4.984091916825817e-05,highs-ipm,0.0,4093,8,True,8,1023,0.001517242876064504,2.8967632450750297e-06,8403008,55.24498989999984,0,0.040984244251096424,0.03230114256153661,0.011464493866708905,0.00017010182989487393,2.220446049250313e-16,1023,1023,1023,0.01585748448266243,63.89152511938307,0.015609949943655771
0.6661765430337536,1023,1.582896226333325,0.00154730813913326,0.005949777290202379,0.006802758351449157,0.00749708542933564,0.008350066490582416,False,6.367136914274443e-07,6.36713691427044e-07,4.002230675776569e-19,3.469446951953614e-18,2,0,2.636779683484747e-16,-1,4.040815940317341e-13,3.1814266119537665e-13,False,3.232067391500948e-13,-0.025243934286038935,-0.024390953224792157,0.031193711576241314,-1.254635882072009e-05,48.404346199999964,3.0462608961173158e-05,highs-ipm,0.0,4093,8,True,9,1023,0.00154730813913326,3.030720607239775e-06,8403009,55.76723280000033,0,0.017483566938823896,0.02342949698249478,0.007512914483726554,0.0008529810612467768,1.3322676295501878e-15,1023,1023,1023,0.015936770197889243,64.2059647149645,0.01568677369043843
0.7149629702598357,1023,1.5892840609148022,0.0015535523567104617,-0.002927831155846501,-0.0025539862208907027,-0.0013742787991360395,-0.001000433864180241,False,6.833424514688743e-07,6.833424514689324e-07,5.812763600532636e-20,1.734723475976807e-18,0,0,5.295243410419204e-16,-1,3.48581271269674e-13,1.7026686321714585e-13,False,1.7295886944879157e-13,-0.024790166696915597,-0.0244163217619598,0.021862335541069096,-1.2605374561800865e-05,48.11800051250003,2.134993705182529e-05,highs-ipm,0.0,4093,8,True,10,1023,0.0015535523567104617,3.096700422575658e-06,8403010,53.63038580000011,0,0.027989017491955124,0.02544360745740204,0.007084587451047863,0.00037384493495579846,2.220446049250313e-16,1023,1023,1023,0.015835224945227516,63.803237089273885,0.015588379450103563
0.7231484208754307,1023,1.5945127103401293,0.0015586634509678684,0.0008722542010314582,0.0007762583288144151,0.0024309176519993264,0.0023349217797822832,False,6.911658858602441e-07,6.911658858602349e-07,9.211483301390516e-21,0.0,0,0,4.0158848468863084e-16,-1,2.1643899509021097e-13,2.0113268113465445e-13,False,2.042446073380333e-13,-0.035275802942777976,-0.03537179881499502,0.036148057143809434,-1.796255202599452e-05,47.78283902499987,3.53008370545014e-05,highs-ipm,0.0,4093,8,True,11,1023,0.0015586634509678684,3.120428773891269e-06,8403011,49.38556420000032,0,0.025607110791511505,0.025143971170988447,0.004583808821328176,9.599587221704314e-05,1.1102230246251565e-15,1023,1023,1023,0.015556555147579096,62.697621216957614,0.015318255855596779
0.6466011547338341,1023,1.5852639944926623,0.0015496226730133552,0.003558221243118123,0.004265393549717486,0.005107843916131479,0.005815016222730842,False,6.180040597598481e-07,6.180040597597398e-07,1.0831433813014366e-19,4.336808689942018e-18,0,0,8.89913143176102e-16,-1,4.578237745508917e-13,2.247938163738028e-13,False,2.283936928471064e-13,-0.017259220911671168,-0.016552048605071805,0.02081744215478929,-8.700059042704958e-06,48.89608353749992,2.0329533354286417e-05,highs-ipm,0.0,4093,8,True,12,1023,0.0015496226730133552,3.0191834979906584e-06,8403012,52.39956370000027,0,0.021739937261657426,0.019418957588933788,0.004760809076549923,0.0007071723065993629,4.440892098500626e-16,1023,1023,1023,0.016040464083400843,64.61713072873299,0.015787229594119958
0.7357809275030334,1023,1.614222108221508,0.0015779297245567037,-0.01604964812280582,-0.015959121797969086,-0.014471718398249117,-0.014381192073412383,False,7.032396972410304e-07,7.032396972409365e-07,9.391477802682055e-20,1.0408340855860843e-17,0,0,4.440892098500626e-16,-1,2.93336088383854e-13,2.1443950266744963e-13,False,2.178569824540233e-13,-0.06710300402290904,-0.06701247769807231,0.05105335590010322,-3.3424176073252804e-05,45.99340345000002,4.9856792871194553e-05,highs-ipm,0.0,4093,8,True,13,1023,0.0015779297245567037,3.1929300976600963e-06,8403013,65.4428213000001,0,0.04823577250051995,0.037838019649081706,0.012929547936934679,9.05263248367344e-05,4.440892098500626e-16,1023,1023,1023,0.015844708303409876,63.84085141730804,0.015597569366554615
0.8145213772187637,1023,1.599703815863686,0.0015637378454190479,0.0012928548927157377,0.0028292802193081237,0.0028565927381347857,0.004393018064727172,False,7.784977094411367e-07,7.78497709441147e-07,1.0376153603865179e-20,4.336808689942018e-18,0,0,4.805184028455756e-16,-1,4.0832322332345905e-13,1.5733931085087915e-13,False,1.5983395162955105e-13,-0.03622379508405378,-0.034687369757461395,0.03751664997676952,-1.7715689973826594e-05,46.836005012500095,3.663735349293898e-05,highs-ipm,0.0,4093,8,True,14,1023,0.0015637378454190479,3.2235835564113383e-06,8403014,56.02953720000005,0,0.03206084711188977,0.03197578762431521,0.00812079504572996,0.001536425326592386,6.661338147750939e-16,1023,1023,1023,0.01586414555097702,63.91794417050877,0.015616404634866545
