D,F,I,R0,R1_plus_R2,R1_plus_R2_bulk,R_total,R_total_bulk,ambiguous_support,audit_sub_R1,audit_sub_R2,audit_sub_R_total,audit_sub_size,bulk_gA_observed,bulk_gA_predicted,bulk_identity_error,check4_error,child_ambiguous,child_failures,delta_I_identity_error,fixed_j,fourier_resid_child_max,fourier_resid_parent,full_j,max_abs_g_on_S,mean_R1,mean_R1_bulk,mean_R2,mean_inner,mean_solve_time_child,mean_unorm,method,min_w,n,num_children,ok,parent_id,q,s2,s3,seed,solve_time_parent,solver_status,std_child_R1,std_child_R2,std_child_Rsum,subset_vs_bulk_gap,sum_w_err_parent,support_1em10,support_1em8,support_1em9,tau,theta_like_value,w0
1.5302884603448752,127,1.8366155970766134,0.014461540134461522,0.016870832943359337,0.025255173380266366,0.03133237307782086,0.039716713514727886,False,,,,,9.506484216031965e-05,9.506484216032128e-05,1.6263032587282567e-18,2.0816681711721685e-17,0,0,4.85722573273506e-16,-1,3.112458207832347e-13,3.54230533794464e-14,False,3.712308238590367e-14,-0.10227818361812349,-0.09389384318121646,0.11914901656148283,-0.00046183766708694806,0.11026878437498056,0.0009308516918865846,highs-ipm,0.0,509,32,True,0,127,0.014461540134461522,0.0003040142173581722,4819000,0.1216656999999941,0,0.1308788729797003,0.10203408535586897,0.05642282854921541,0.008384340436907028,5.551115123125783e-16,127,127,127,0.047820654777999065,23.229846797740947,0.04563820588947141
0.32526711455455976,127,1.3632432637239538,0.010734198926960266,0.04667862789308433,0.0472747043735494,0.057412826820044595,0.058008903300509666,False,,,,,2.0206299469907795e-05,2.0206299469907595e-05,1.9989977555201488e-19,0.0,0,0,4.718447854656915e-16,-1,1.780580891064254e-13,1.0351094981153608e-14,False,1.083855227790309e-14,-0.0695441760526114,-0.06894809957214633,0.11622280394569573,-0.00028953481342360417,0.10205701875000273,0.0009079906558257479,highs-ipm,0.0,509,32,True,1,127,0.010734198926960266,0.0001353896280391405,4819001,0.11131469999963883,0,0.05618778430108648,0.0836310055995231,0.03698836133701661,0.0005960764804650714,0.0,127,127,127,0.04569162350820551,22.240817314430853,0.04369512242520796
1.0310188573532024,127,1.6966341093682027,0.01335932369581262,0.002410636828508228,0.008384610213876459,0.01576996052432085,0.02174393390968908,False,,,,,6.40491302643077e-05,6.404913026430848e-05,7.724940478959219e-19,3.469446951953614e-17,0,0,5.551115123125783e-16,-1,4.268113640293336e-14,7.736693230508962e-14,False,8.110873084277159e-14,-0.15074588299210773,-0.1447719096067395,0.15315651982061596,-0.0006295644021656347,0.10572833437500151,0.0011965353110985621,highs-ipm,0.0,509,32,True,2,127,0.01335932369581262,0.00024239482661199313,4819002,0.10656849999986662,0,0.1630068884088968,0.1372958714575361,0.06819130023587452,0.005973973385368231,2.220446049250313e-16,127,127,127,0.048308791205504735,23.45604170248877,0.04608259666500741
0.6649997749187472,127,1.609330426394201,0.012671893121214181,-0.024125169063745455,-0.024523489606484344,-0.011453275942531274,-0.011851596485270163,False,,,,,4.1311230057274254e-05,4.131123005727473e-05,4.743384504624082e-19,1.3877787807814457e-17,0,0,5.134781488891349e-16,-1,9.25665794015984e-14,1.4254222802101424e-14,False,1.4883927423881005e-14,-0.17675629011837063,-0.17715461066110952,0.15263112105462517,-0.0007333214279522338,0.10556537812506406,0.0011924306332392592,highs-ipm,0.0,509,32,True,3,127,0.012671893121214181,0.00020180694378057462,4819003,0.1131852000003164,0,0.16014697748568354,0.14394265336032117,0.030297453740198266,0.00039832054273888917,0.0,127,127,127,0.04631126562150583,22.529083816510866,0.044261461329097966
1.0924277672301295,127,1.791892220011199,0.0141093875591433,-0.024728913322094925,-0.025905090455058233,-0.010619525762951625,-0.011795702895914932,False,,,,,6.786398509459846e-05,6.786398509460094e-05,2.4801124695605914e-18,1.9081958235744878e-17,0,0,7.771561172376096e-16,-1,6.923454864971035e-14,5.806986835832362e-14,False,6.112471639951877e-14,-0.18036963901813036,-0.18154581615109366,0.15564072569603543,-0.0007770273294348106,0.11150815625003929,0.0012159431695002768,highs-ipm,0.0,509,32,True,4,127,0.0141093875591433,0.0002668054743236898,4819004,0.0980189000001701,0,0.17713300413006822,0.14286550167969414,0.06507848056106971,0.0011761771329633075,2.220446049250313e-16,127,127,127,0.05258027691263115,25.42643210742085,0.049953697657015426
0.6672336143508173,127,1.6861541146024277,0.01327680405198762,-0.0298676248764769,-0.0336912934614117,-0.01659082082448928,-0.02041448940942408,False,,,,,4.145000101355135e-05,4.145000101355142e-05,7.453889935837843e-20,6.938893903907228e-18,0,0,6.38378239159465e-16,-1,1.842068164670252e-13,2.5281859938885987e-14,False,2.648575803121389e-14,-0.1971488902381663,-0.2009725588231011,0.1672812653616894,-0.0008264990589162901,0.11060272812504479,0.0013068848856381985,highs-ipm,0.0,509,32,True,5,127,0.01327680405198762,0.00021764209266175922,4819005,0.12204810000002908,0,0.14821115803064014,0.1448637640717542,0.036395890952073115,0.0038236685849347973,0.0,127,127,127,0.04929085153427159,23.910475722016518,0.04697539434580848
0.8335922360772627,127,1.6616371556786025,0.013083757131327579,-0.04532740604417099,-0.045950774402595845,-0.03224364891284341,-0.03286701727126827,False,,,,,5.1784559841022246e-05,5.1784559841021765e-05,4.811147140404426e-19,2.7755575615628914e-17,0,0,7.979727989493313e-16,-1,6.81913293193448e-14,3.840244094943657e-14,False,4.008599008287206e-14,-0.20657381449667375,-0.2071971828550986,0.16124640845250277,-0.0008611485553687507,0.10755576875000372,0.0012597375660351779,highs-ipm,0.0,509,32,True,6,127,0.013083757131327579,0.00022286752267399956,4819006,0.11317659999986063,0,0.15425310137534134,0.1369079623774278,0.043748039349702006,0.0006233683584248584,0.0,127,127,127,0.043814302453539226,21.365371116711746,0.041975188834404216
1.6471084841646872,127,1.9096826421819268,0.015036871198282889,-0.04444744518038124,-0.05264714180497926,-0.02941057398209835,-0.03761027060669637,False,,,,,0.0001023219557133396,0.00010232195571333898,6.2341624917916505e-19,4.85722573273506e-17,0,0,6.071532165918825e-16,-1,3.963929878780803e-14,3.063174713879846e-14,False,3.204381204824358e-14,-0.23563395825630257,-0.24383365488090059,0.19118651307592133,-0.001054797170091857,0.1088976499999319,0.0014936446334056354,highs-ipm,0.0,509,32,True,7,127,0.015036871198282889,0.0003282284256938206,4819007,0.10593669999980193,0,0.2848055402809309,0.22745136484968526,0.10603529647645106,0.008199696624598019,0.0,127,127,127,0.04672264420945412,22.72027459630776,0.04463708172162625
1.1716865389934872,127,1.6936935509956559,0.01333616969287918,0.02378199461526781,0.022609854581154026,0.03711816430814699,0.035946024274033206,False,,,,,7.278771210604826e-05,7.278771210604718e-05,1.0842021724855044e-18,2.0816681711721685e-17,0,0,6.661338147750939e-16,-1,6.995792833919268e-14,2.398168469364137e-14,False,2.5139612613855888e-14,-0.14607260375163827,-0.14724474378575206,0.16985459836690608,-0.0006479624925191411,0.1223754218749491,0.0013269890497414538,highs-ipm,0.0,509,32,True,8,127,0.01333616969287918,0.00025049813278428675,4819008,0.1311118999997234,0,0.13841474427527986,0.17402667677387038,0.07537978455361191,0.0011721400341137833,2.220446049250313e-16,127,127,127,0.04835013725159082,23.47519114709057,0.046120218363635695
1.0196131086857654,127,1.6507916367814832,0.012998359344736088,-0.00716776728926663,-0.009550139932384738,0.005830592055469458,0.00344821941235135,False,,,,,6.334058038963505e-05,6.334058038963594e-05,8.944667923005412e-19,1.734723475976807e-17,0,0,7.494005416219807e-16,-1,4.0596432465678234e-14,2.1724809451395544e-14,False,2.2766510898719616e-14,-0.13552200500314562,-0.13790437764626373,0.128354237713879,-0.0006020295555703536,0.12055787500000292,0.0010027674821396796,highs-ipm,0.0,509,32,True,9,127,0.012998359344736088,0.00023217348482568376,4819009,0.11354010000013659,0,0.12999075684577568,0.12928391915676316,0.04588478768220958,0.002382372643118108,8.881784197001252e-16,127,127,127,0.04785505102887471,23.245792392545344,0.04566953318771187
