E_D,E_D_se,E_I,E_I_se,F,K_ADC,ambiguous_children,ambiguous_parents,cancel_fraction,cancel_ratio,cancel_ratio_bulk,dataset,max_abs_g_on_S,max_bulk_identity_error,max_check4_error,max_delta_I_identity_error,max_fourier_resid,max_sum_w_err,mean_solve_time_child,mean_solve_time_parent,mean_subset_vs_bulk_gap,n,parents,q,q_R0,q_R0_hi,q_R0_lo,q_R0_se,q_R1,q_R1_bulk,q_R1_bulk_hi,q_R1_bulk_lo,q_R1_bulk_se,q_R1_hi,q_R1_lo,q_R1_plus_R2,q_R1_plus_R2_bulk,q_R1_plus_R2_bulk_hi,q_R1_plus_R2_bulk_lo,q_R1_plus_R2_bulk_se,q_R1_plus_R2_hi,q_R1_plus_R2_lo,q_R1_plus_R2_se,q_R1_se,q_R2,q_R2_hi,q_R2_lo,q_R2_se,q_R_total,q_R_total_bulk,q_R_total_bulk_hi,q_R_total_bulk_lo,q_R_total_bulk_se,q_R_total_hi,q_R_total_lo,q_R_total_se,solver_failures,transitions
0.8220407493638153,0.019201145389598936,1.634759134781284,0.007536159188987965,127,1.2950435910576727,3,0,0.9943865691221783,0.0056134308778217215,0.006070051037438942,main,6.319667011922547e-13,3.727622594276725e-17,6.938893903907228e-17,1.2975731600306517e-15,2.1327471039223056e-12,1.1102230246251565e-15,0.10847688554687686,0.11103773100000808,0.0034509294742797194,509,200,127,1.634759134781284,1.649654201265009,1.6199233774155444,0.007536159188987966,-18.85940654012559,-18.876638166029817,-18.095211497994388,-19.68046760626004,0.40347466105972607,-18.11723937018041,-19.622865583476226,-0.2105500419128679,-0.2277816678170942,0.30843492114526727,-0.7721119105793746,0.2748597022695047,0.30954736551331363,-0.7354464510217905,0.2670339504829706,0.38426483004795514,18.648856498212723,19.06390227842545,18.23448395599627,0.21129261349229497,1.424209092868416,1.4069774669641892,1.9308913463399335,0.878848242810317,0.27097175227924264,1.9263444542347181,0.9041298553691421,0.26308129229522687,0,6400
0.7742088599970866,0.011590649501381662,1.6116553726791116,0.004393441839583512,255,1.2657599272053712,3,0,0.992625056734406,0.007374943265593973,0.007191283126766747,main,4.449288160124354e-13,8.639736061993863e-18,3.122502256758253e-17,1.3877787807814457e-15,2.0643786972831396e-12,1.1102230246251565e-15,0.780159845031248,0.7935560189999858,0.002359608092393585,1021,200,255,1.611655372679112,1.6202276953789412,1.6030557386738882,0.004393441839583512,-24.347866075267987,-24.338923778426963,-23.2921437850197,-25.415650682692746,0.5414855893321034,-23.361201811061086,-25.34826570720592,-0.3564991012408782,-0.34755680439985437,0.29204823785241685,-0.9947883568281569,0.32898323767876486,0.2633827547777431,-0.985370602035428,0.3207868311393051,0.5126380189973692,23.99136697402711,24.705281653896897,23.292079303958587,0.362927340397109,1.2551562714382338,1.2640985682792572,1.8917451636117548,0.616729520376095,0.32675282012882306,1.8657098231817704,0.6294480692372386,0.3184157927830714,0,3200
0.7384014514912635,0.009557869803059164,1.5985353158878537,0.004339847940290983,513,1.233680673288151,2,0,0.9900192521688469,0.009980747831153066,0.009870423344967821,main,9.803928502361003e-13,3.801907383750927e-18,2.2551405187698492e-17,6.522560269672795e-16,3.489849340321713e-12,1.9984014443252818e-15,6.497560348000004,6.143351473999989,0.001316810128209106,2053,100,513,1.5985353158878541,1.6071554287683796,1.590256152129829,0.004339847940290982,-30.579159665200052,-30.57241248473006,-28.502614583908517,-32.73605789981378,1.079579790645768,-28.579934369675406,-32.614950019720936,-0.6043736618986614,-0.5976264814286689,0.42667590871420796,-1.6521483818169589,0.5344625941794647,0.42709230674592463,-1.6824502074421233,0.5335232311533402,1.0391751039816985,29.974786003301393,31.533058003011014,28.461557051713903,0.7974037634261564,0.9941616539891923,1.000908834459185,2.01694266920713,-0.050274145765493626,0.5324567290970393,2.0138289793863366,-0.06200067026102789,0.5314320994702856,0,800
0.7214783269817069,0.011729758947249449,1.5932762539800769,0.004822683896614919,1023,1.2160916978246954,4,0,0.9877372805104203,0.012262719489579648,0.010907801748556507,main,2.1937868188715015e-12,1.061014645554418e-18,1.0408340855860843e-17,8.89913143176102e-16,2.159382861324083e-12,1.9984014443252818e-15,45.08675779575,45.785298067999996,0.0006966867844237451,4093,50,1023,1.5932762539800767,1.6031979782944081,1.584375685426414,0.004822683896614919,-35.675929149505514,-35.57937116343968,-32.483329398638325,-38.81235735598402,1.636610856183876,-32.695853295571034,-38.823191406789334,-0.8643683171718535,-0.7678103311060239,0.8791409139272626,-2.407008860286317,0.8587964435297409,0.7672845820722498,-2.4961294006096457,0.8364181030417084,1.582607941579791,34.81156083233366,37.24420088740227,32.44132943572053,1.2528639198357394,0.7289079368082232,0.8254659228740528,2.501593463424127,-0.8508722459599526,0.856269101818822,2.3431230141102195,-0.8736723313894057,0.8339918677997965,0,400
0.8623960813160103,0.04843469842310635,1.6443840674757477,0.01957049714070862,127,1.3383262014752837,2,0,0.9935583231770577,0.006441676822942261,0.010404852851001645,methodcheck,3.9961191994342116e-10,1.125704076395534e-14,5.637851296924623e-17,1.0130785099704553e-15,2.493286480054202e-09,3.0720981314402707e-11,0.06640215914063034,0.07529871249996631,0.003838255859371251,509,40,127,1.644384067475748,1.6825405320417177,1.6073681288620678,0.019570497140708614,-19.527387390935505,-19.682794660623635,-17.549209158824894,-21.887868353359252,1.1125360112481575,-17.525363098923556,-21.560269763811057,-0.24996802430894177,-0.405375293997067,0.9024335352075579,-1.7475253333608036,0.6843184278989419,0.923885106942301,-1.4487515462566758,0.6172598598559197,1.0405736374535535,19.277419366626564,20.34475549230046,18.258955822770993,0.5408327160846467,1.3944160431668062,1.2390087734786808,2.5552669799717984,-0.0834635921910159,0.6757255446644082,2.571808678971027,0.19392112773362827,0.6083736840083195,0,1280
0.8190594520670145,0.026735629287588852,1.633461686303391,0.009462474366847422,255,1.2929897257822993,3,0,0.969853318535607,0.030146681464393033,0.02876535448871114,methodcheck,5.4899272627917384e-11,1.7720945696096668e-16,3.122502256758253e-17,1.1102230246251565e-15,1.0187068579100775e-09,1.2434497875801753e-14,0.5625674329687612,0.5671628050000208,0.0026335535457444746,1021,40,255,1.6334616863033915,1.6517450544725476,1.615250760846665,0.009462474366847424,-25.939510997676884,-25.86788593093566,-23.558664399522655,-28.30014992328533,1.2352767264252478,-23.710970487305122,-28.274009453779616,-1.5182113177852654,-1.4465862510440362,-0.12207262286151768,-2.750544058722632,0.6847142689620055,-0.21064509472406262,-2.82241943140539,0.6707784265808415,1.1700230723245968,24.421299679891625,26.068538056364154,22.825055607392017,0.8417272814190274,0.11525036851812565,0.18687543525935518,1.519445751502617,-1.1384908399457858,0.6805464169184405,1.4067725463083827,-1.1911278373502276,0.6659359070739099,0,640
0.828361282623853,0.026376962798828684,1.635798182153809,0.00832579308882914,127,1.3028682778200522,1,0,0.9983229202756139,0.0016770797243861662,0.001662817966112183,seed2,6.375733274666118e-13,1.2292142130554407e-17,5.551115123125783e-17,1.6896206656014101e-15,1.9522907596103423e-12,8.881784197001252e-16,0.09805401060938067,0.10388869700001578,0.0033870643530451382,509,200,127,1.6357981821538088,1.6522712405337467,1.6198509584921381,0.00832579308882914,-18.569949126803568,-18.569419452629347,-17.86895526694007,-19.305837438313514,0.36474349353942975,-17.89875435571002,-19.240862512832862,-0.06218228567636338,-0.061652611502147486,0.42850666421690614,-0.5553089752312137,0.25165056186853857,0.42755664395623777,-0.5428413258051655,0.2477915390372704,0.3462256212853112,18.5077668411272,18.939497280063247,18.074242756146198,0.2218542321529115,1.573615896477445,1.574145570651661,2.054108321979874,1.0924774672728104,0.24773532504755702,2.04818903587493,1.0921946711684938,0.2437711625768079,0,6400
